id,name,deposit_amount,notes
notary,Mobile Notary,TBD,Update with legal notarial act fee + travel/convenience add-ons
apostille,Apostille Facilitation,TBD,Deposit applied to final apostille facilitation total
loansigning,Loan Signing,TBD,Deposit applied to final loan signing total
officiant,Officiant Services,TBD,Deposit applied to final officiant total
